"Imbalance settlement period (UTC)","+ Imbalance Price [CZK/MWh] - MBA|CZ","- Imbalance Price [CZK/MWh] - MBA|CZ","Status","Total Imbalance [MWh] - MBA|CZ","Difference","Situation","Status"
"31.07.2020 20:00 - 31.07.2020 21:00","2362","2350","Estimated","2","","Deficit","Final"
"31.07.2020 21:00 - 31.07.2020 22:00","-71","-1","Estimated","20","","Surplus","Final"
"31.07.2020 22:00 - 31.07.2020 23:00","2365","2350","Estimated","3","","Deficit","Final"
"31.07.2020 23:00 - 01.08.2020 00:00","-25","-1","Estimated","7","","Surplus","Final"
"01.08.2020 00:00 - 01.08.2020 01:00","-162","-1","Estimated","46","","Surplus","Final"
"01.08.2020 01:00 - 01.08.2020 02:00","-114","-1","Estimated","32","","Surplus","Final"
"01.08.2020 02:00 - 01.08.2020 03:00","-197","-1","Estimated","56","","Surplus","Final"
"01.08.2020 03:00 - 01.08.2020 04:00","-132","-1","Estimated","37","","Surplus","Final"
"01.08.2020 04:00 - 01.08.2020 05:00","2395","2350","Estimated","8","","Deficit","Final"
"01.08.2020 05:00 - 01.08.2020 06:00","2363","2350","Estimated","2","","Deficit","Final"
"01.08.2020 06:00 - 01.08.2020 07:00","-235","-1","Estimated","67","","Surplus","Final"
"01.08.2020 07:00 - 01.08.2020 08:00","-326","2","Estimated","93","","Surplus","Final"
"01.08.2020 08:00 - 01.08.2020 09:00","-82","9","Estimated","23","","Surplus","Final"
"01.08.2020 09:00 - 01.08.2020 10:00","-9","8","Estimated","2","","Surplus","Final"
"01.08.2020 10:00 - 01.08.2020 11:00","-367","-1","Estimated","105","","Surplus","Final"
"01.08.2020 11:00 - 01.08.2020 12:00","-325","-1","Estimated","92","","Surplus","Final"
"01.08.2020 12:00 - 01.08.2020 13:00","2402","2350","Estimated","9","","Deficit","Final"
"01.08.2020 13:00 - 01.08.2020 14:00","-34","10","Estimated","9","","Surplus","Final"
"01.08.2020 14:00 - 01.08.2020 15:00","-7","5","Estimated","2","","Surplus","Final"
"01.08.2020 15:00 - 01.08.2020 16:00","2351","2350","Estimated","0","","Balanced","Final"
"01.08.2020 16:00 - 01.08.2020 17:00","2562","2350","Estimated","39","","Deficit","Final"
"01.08.2020 17:00 - 01.08.2020 18:00","2551","2350","Estimated","37","","Deficit","Final"
"01.08.2020 18:00 - 01.08.2020 19:00","-129","-1","Estimated","37","","Surplus","Final"
"01.08.2020 19:00 - 01.08.2020 20:00","-17","-1","Estimated","5","","Surplus","Final"
"01.08.2020 20:00 - 01.08.2020 21:00","-17","-1","Estimated","5","","Surplus","Final"
"01.08.2020 21:00 - 01.08.2020 22:00","2390","2350","Estimated","7","","Deficit","Final"
"01.08.2020 22:00 - 01.08.2020 23:00","-12","-1","Estimated","3","","Surplus","Final"
"01.08.2020 23:00 - 02.08.2020 00:00","-5","-1","Estimated","1","","Surplus","Final"
"02.08.2020 00:00 - 02.08.2020 01:00","-37","-1","Estimated","10","","Surplus","Final"
"02.08.2020 01:00 - 02.08.2020 02:00","-157","-1","Estimated","44","","Surplus","Final"
"02.08.2020 02:00 - 02.08.2020 03:00","-41","-1","Estimated","11","","Surplus","Final"
"02.08.2020 03:00 - 02.08.2020 04:00","2382","2350","Estimated","6","","Deficit","Final"
"02.08.2020 04:00 - 02.08.2020 05:00","-47","-1","Estimated","13","","Surplus","Final"
"02.08.2020 05:00 - 02.08.2020 06:00","2388","2323","Estimated","7","","Deficit","Final"
"02.08.2020 06:00 - 02.08.2020 07:00","-218","-1","Estimated","62","","Surplus","Final"
"02.08.2020 07:00 - 02.08.2020 08:00","-403","-1","Estimated","115","","Surplus","Final"
"02.08.2020 08:00 - 02.08.2020 09:00","-226","-1","Estimated","64","","Surplus","Final"
"02.08.2020 09:00 - 02.08.2020 10:00","2620","2350","Estimated","49","","Deficit","Final"
"02.08.2020 10:00 - 02.08.2020 11:00","2451","2350","Estimated","18","","Deficit","Final"
"02.08.2020 11:00 - 02.08.2020 12:00","2538","2350","Estimated","34","","Deficit","Final"
"02.08.2020 12:00 - 02.08.2020 13:00","2564","2350","Estimated","39","","Deficit","Final"
"02.08.2020 13:00 - 02.08.2020 14:00","2504","2350","Estimated","28","","Deficit","Final"
"02.08.2020 14:00 - 02.08.2020 15:00","2463","2350","Estimated","21","","Deficit","Final"
"02.08.2020 15:00 - 02.08.2020 16:00","2399","2350","Estimated","9","","Deficit","Final"
"02.08.2020 16:00 - 02.08.2020 17:00","-33","-1","Estimated","9","","Surplus","Final"
"02.08.2020 17:00 - 02.08.2020 18:00","-95","-1","Estimated","27","","Surplus","Final"
"02.08.2020 18:00 - 02.08.2020 19:00","2708","2350","Estimated","65","","Deficit","Final"
"02.08.2020 19:00 - 02.08.2020 20:00","-133","1","Estimated","38","","Surplus","Final"
"02.08.2020 20:00 - 02.08.2020 21:00","-179","1","Estimated","51","","Surplus","Final"
"02.08.2020 21:00 - 02.08.2020 22:00","-54","1","Estimated","15","","Surplus","Final"
"02.08.2020 22:00 - 02.08.2020 23:00","2455","2350","Estimated","19","","Deficit","Final"
"02.08.2020 23:00 - 03.08.2020 00:00","-27","-1","Estimated","7","","Surplus","Final"
"03.08.2020 00:00 - 03.08.2020 01:00","2406","2350","Estimated","10","","Deficit","Final"
"03.08.2020 01:00 - 03.08.2020 02:00","-29","-1","Estimated","8","","Surplus","Final"
"03.08.2020 02:00 - 03.08.2020 03:00","-190","-1","Estimated","54","","Surplus","Final"
"03.08.2020 03:00 - 03.08.2020 04:00","2432","2350","Estimated","15","","Deficit","Final"
"03.08.2020 04:00 - 03.08.2020 05:00","-251","-1","Estimated","71","","Surplus","Final"
"03.08.2020 05:00 - 03.08.2020 06:00","-138","-1","Estimated","39","","Surplus","Final"
"03.08.2020 06:00 - 03.08.2020 07:00","-15","-1","Estimated","4","","Surplus","Final"
"03.08.2020 07:00 - 03.08.2020 08:00","2557","2350","Estimated","38","","Deficit","Final"
"03.08.2020 08:00 - 03.08.2020 09:00","-159","1","Estimated","45","","Surplus","Final"
"03.08.2020 09:00 - 03.08.2020 10:00","2464","2311","Estimated","21","","Deficit","Final"
"03.08.2020 10:00 - 03.08.2020 11:00","-160","-1","Estimated","45","","Surplus","Final"
"03.08.2020 11:00 - 03.08.2020 12:00","-353","-1","Estimated","101","","Surplus","Final"
"03.08.2020 12:00 - 03.08.2020 13:00","-545","-1","Estimated","155","","Surplus","Final"
"03.08.2020 13:00 - 03.08.2020 14:00","-767","-1","Estimated","219","","Surplus","Final"
"03.08.2020 14:00 - 03.08.2020 15:00","-374","0","Estimated","107","","Surplus","Final"
"03.08.2020 15:00 - 03.08.2020 16:00","-561","0","Estimated","160","","Surplus","Final"
"03.08.2020 16:00 - 03.08.2020 17:00","-604","0","Estimated","172","","Surplus","Final"
"03.08.2020 17:00 - 03.08.2020 18:00","-398","0","Estimated","114","","Surplus","Final"
"03.08.2020 18:00 - 03.08.2020 19:00","-211","-1","Estimated","60","","Surplus","Final"
"03.08.2020 19:00 - 03.08.2020 20:00","-182","1","Estimated","52","","Surplus","Final"
"03.08.2020 20:00 - 03.08.2020 21:00","-190","1","Estimated","54","","Surplus","Final"
"03.08.2020 21:00 - 03.08.2020 22:00","-171","0","Estimated","49","","Surplus","Final"
"03.08.2020 22:00 - 03.08.2020 23:00","-229","-1","Estimated","65","","Surplus","Final"
"03.08.2020 23:00 - 04.08.2020 00:00","-104","-1","Estimated","29","","Surplus","Final"
"04.08.2020 00:00 - 04.08.2020 01:00","-2","-1","Estimated","0","","Balanced","Final"
"04.08.2020 01:00 - 04.08.2020 02:00","-127","-1","Estimated","36","","Surplus","Final"
"04.08.2020 02:00 - 04.08.2020 03:00","-36","-1","Estimated","10","","Surplus","Final"
"04.08.2020 03:00 - 04.08.2020 04:00","-18","-1","Estimated","5","","Surplus","Final"
"04.08.2020 04:00 - 04.08.2020 05:00","-380","-1","Estimated","108","","Surplus","Final"
"04.08.2020 05:00 - 04.08.2020 06:00","-180","-1","Estimated","51","","Surplus","Final"
"04.08.2020 06:00 - 04.08.2020 07:00","2547","2350","Estimated","36","","Deficit","Final"
"04.08.2020 07:00 - 04.08.2020 08:00","2385","2350","Estimated","6","","Deficit","Final"
"04.08.2020 08:00 - 04.08.2020 09:00","-93","3","Estimated","26","","Surplus","Final"
"04.08.2020 09:00 - 04.08.2020 10:00","2475","2350","Estimated","23","","Deficit","Final"
"04.08.2020 10:00 - 04.08.2020 11:00","2486","2350","Estimated","25","","Deficit","Final"
"04.08.2020 11:00 - 04.08.2020 12:00","-3","-1","Estimated","1","","Surplus","Final"
"04.08.2020 12:00 - 04.08.2020 13:00","-196","-1","Estimated","56","","Surplus","Final"
"04.08.2020 13:00 - 04.08.2020 14:00","-333","-1","Estimated","95","","Surplus","Final"
"04.08.2020 14:00 - 04.08.2020 15:00","-219","-1","Estimated","62","","Surplus","Final"
"04.08.2020 15:00 - 04.08.2020 16:00","-343","0","Estimated","98","","Surplus","Final"
"04.08.2020 16:00 - 04.08.2020 17:00","-233","1","Estimated","66","","Surplus","Final"
"04.08.2020 17:00 - 04.08.2020 18:00","2453","2350","Estimated","19","","Deficit","Final"
"04.08.2020 18:00 - 04.08.2020 19:00","-18","7","Estimated","5","","Surplus","Final"
"04.08.2020 19:00 - 04.08.2020 20:00","-330","0","Estimated","94","","Surplus","Final"
"04.08.2020 20:00 - 04.08.2020 21:00","2547","2350","Estimated","36","","Deficit","Final"
"04.08.2020 21:00 - 04.08.2020 22:00","-106","1","Estimated","30","","Surplus","Final"
"04.08.2020 22:00 - 04.08.2020 23:00","-212","-1","Estimated","60","","Surplus","Final"
"04.08.2020 23:00 - 05.08.2020 00:00","-101","-1","Estimated","28","","Surplus","Final"
"05.08.2020 00:00 - 05.08.2020 01:00","-75","-1","Estimated","21","","Surplus","Final"
"05.08.2020 01:00 - 05.08.2020 02:00","-110","-1","Estimated","31","","Surplus","Final"
"05.08.2020 02:00 - 05.08.2020 03:00","-98","3","Estimated","28","","Surplus","Final"
"05.08.2020 03:00 - 05.08.2020 04:00","2424","2350","Estimated","14","","Deficit","Final"
"05.08.2020 04:00 - 05.08.2020 05:00","-3","-1","Estimated","1","","Surplus","Final"
"05.08.2020 05:00 - 05.08.2020 06:00","2446","2350","Estimated","17","","Deficit","Final"
"05.08.2020 06:00 - 05.08.2020 07:00","2724","2350","Estimated","68","","Deficit","Final"
"05.08.2020 07:00 - 05.08.2020 08:00","2769","2347","Estimated","76","","Deficit","Final"
"05.08.2020 08:00 - 05.08.2020 09:00","-213","-1","Estimated","61","","Surplus","Final"
"05.08.2020 09:00 - 05.08.2020 10:00","-251","-1","Estimated","71","","Surplus","Final"
"05.08.2020 10:00 - 05.08.2020 11:00","2634","2350","Estimated","52","","Deficit","Final"
"05.08.2020 11:00 - 05.08.2020 12:00","-101","1","Estimated","28","","Surplus","Final"
"05.08.2020 12:00 - 05.08.2020 13:00","-400","-1","Estimated","114","","Surplus","Final"
"05.08.2020 13:00 - 05.08.2020 14:00","-130","2","Estimated","37","","Surplus","Final"
"05.08.2020 14:00 - 05.08.2020 15:00","-667","-1","Estimated","190","","Surplus","Final"
"05.08.2020 15:00 - 05.08.2020 16:00","-419","-1","Estimated","119","","Surplus","Final"
"05.08.2020 16:00 - 05.08.2020 17:00","-206","3","Estimated","58","","Surplus","Final"
"05.08.2020 17:00 - 05.08.2020 18:00","2703","2350","Estimated","64","","Deficit","Final"
"05.08.2020 18:00 - 05.08.2020 19:00","2494","2350","Estimated","26","","Deficit","Final"
"05.08.2020 19:00 - 05.08.2020 20:00","3159","2350","Estimated","147","","Deficit","Final"
"05.08.2020 20:00 - 05.08.2020 21:00","2997","2350","Estimated","118","","Deficit","Final"
"05.08.2020 21:00 - 05.08.2020 22:00","-460","-1","Estimated","131","","Surplus","Final"
"05.08.2020 22:00 - 05.08.2020 23:00","-458","-1","Estimated","131","","Surplus","Final"
"05.08.2020 23:00 - 06.08.2020 00:00","-280","-1","Estimated","80","","Surplus","Final"
"06.08.2020 00:00 - 06.08.2020 01:00","2465","2350","Estimated","21","","Deficit","Final"
"06.08.2020 01:00 - 06.08.2020 02:00","2365","2350","Estimated","3","","Deficit","Final"
"06.08.2020 02:00 - 06.08.2020 03:00","-341","-1","Estimated","97","","Surplus","Final"
"06.08.2020 03:00 - 06.08.2020 04:00","-119","-1","Estimated","34","","Surplus","Final"
"06.08.2020 04:00 - 06.08.2020 05:00","-170","-1","Estimated","48","","Surplus","Final"
"06.08.2020 05:00 - 06.08.2020 06:00","-14","-1","Estimated","4","","Surplus","Final"
"06.08.2020 06:00 - 06.08.2020 07:00","2516","2350","Estimated","30","","Deficit","Final"
"06.08.2020 07:00 - 06.08.2020 08:00","2459","2350","Estimated","20","","Deficit","Final"
"06.08.2020 08:00 - 06.08.2020 09:00","-96","-1","Estimated","27","","Surplus","Final"
"06.08.2020 09:00 - 06.08.2020 10:00","-151","-1","Estimated","43","","Surplus","Final"
"06.08.2020 10:00 - 06.08.2020 11:00","-107","2","Estimated","30","","Surplus","Final"
"06.08.2020 11:00 - 06.08.2020 12:00","-79","2","Estimated","22","","Surplus","Final"
"06.08.2020 12:00 - 06.08.2020 13:00","-373","-1","Estimated","106","","Surplus","Final"
"06.08.2020 13:00 - 06.08.2020 14:00","-230","-1","Estimated","65","","Surplus","Final"
"06.08.2020 14:00 - 06.08.2020 15:00","2470","2350","Estimated","22","","Deficit","Final"
"06.08.2020 15:00 - 06.08.2020 16:00","2690","2350","Estimated","62","","Deficit","Final"
"06.08.2020 16:00 - 06.08.2020 17:00","-142","-1","Estimated","40","","Surplus","Final"
"06.08.2020 17:00 - 06.08.2020 18:00","-99","-1","Estimated","28","","Surplus","Final"
"06.08.2020 18:00 - 06.08.2020 19:00","2517","2350","Estimated","30","","Deficit","Final"
"06.08.2020 19:00 - 06.08.2020 20:00","2384","2350","Estimated","6","","Deficit","Final"
"06.08.2020 20:00 - 06.08.2020 21:00","-111","-1","Estimated","31","","Surplus","Final"
"06.08.2020 21:00 - 06.08.2020 22:00","-46","-1","Estimated","13","","Surplus","Final"
"06.08.2020 22:00 - 06.08.2020 23:00","2557","2350","Estimated","38","","Deficit","Final"
"06.08.2020 23:00 - 07.08.2020 00:00","-18","-1","Estimated","5","","Surplus","Final"
"07.08.2020 00:00 - 07.08.2020 01:00","-272","-1","Estimated","77","","Surplus","Final"
"07.08.2020 01:00 - 07.08.2020 02:00","-147","-1","Estimated","42","","Surplus","Final"
"07.08.2020 02:00 - 07.08.2020 03:00","2427","2350","Estimated","14","","Deficit","Final"
"07.08.2020 03:00 - 07.08.2020 04:00","2420","2350","Estimated","13","","Deficit","Final"
"07.08.2020 04:00 - 07.08.2020 05:00","2429","2350","Estimated","14","","Deficit","Final"
"07.08.2020 05:00 - 07.08.2020 06:00","2363","2350","Estimated","2","","Deficit","Final"
"07.08.2020 06:00 - 07.08.2020 07:00","-51","-1","Estimated","14","","Surplus","Final"
"07.08.2020 07:00 - 07.08.2020 08:00","2350","2350","Estimated","0","","Balanced","Final"
"07.08.2020 08:00 - 07.08.2020 09:00","2443","2350","Estimated","17","","Deficit","Final"
"07.08.2020 09:00 - 07.08.2020 10:00","-66","-1","Estimated","19","","Surplus","Final"
"07.08.2020 10:00 - 07.08.2020 11:00","-58","-1","Estimated","16","","Surplus","Final"
"07.08.2020 11:00 - 07.08.2020 12:00","-6","-1","Estimated","1","","Surplus","Final"
"07.08.2020 12:00 - 07.08.2020 13:00","2599","2350","Estimated","45","","Deficit","Final"
"07.08.2020 13:00 - 07.08.2020 14:00","-165","-1","Estimated","47","","Surplus","Final"
"07.08.2020 14:00 - 07.08.2020 15:00","-195","-1","Estimated","55","","Surplus","Final"
"07.08.2020 15:00 - 07.08.2020 16:00","2477","2350","Estimated","23","","Deficit","Final"
"07.08.2020 16:00 - 07.08.2020 17:00","2673","2350","Estimated","59","","Deficit","Final"
"07.08.2020 17:00 - 07.08.2020 18:00","2483","2350","Estimated","24","","Deficit","Final"
"07.08.2020 18:00 - 07.08.2020 19:00","2467","2350","Estimated","21","","Deficit","Final"
"07.08.2020 19:00 - 07.08.2020 20:00","2457","2350","Estimated","19","","Deficit","Final"
"07.08.2020 20:00 - 07.08.2020 21:00","2557","2350","Estimated","38","","Deficit","Final"
"07.08.2020 21:00 - 07.08.2020 22:00","2514","2350","Estimated","30","","Deficit","Final"
"07.08.2020 22:00 - 07.08.2020 23:00","-126","-1","Estimated","36","","Surplus","Final"
"07.08.2020 23:00 - 08.08.2020 00:00","-111","-1","Estimated","32","","Surplus","Final"
"08.08.2020 00:00 - 08.08.2020 01:00","2553","2350","Estimated","37","","Deficit","Final"
"08.08.2020 01:00 - 08.08.2020 02:00","2433","2350","Estimated","15","","Deficit","Final"
"08.08.2020 02:00 - 08.08.2020 03:00","2399","2350","Estimated","9","","Deficit","Final"
"08.08.2020 03:00 - 08.08.2020 04:00","-13","-1","Estimated","3","","Surplus","Final"
"08.08.2020 04:00 - 08.08.2020 05:00","-28","-1","Estimated","8","","Surplus","Final"
"08.08.2020 05:00 - 08.08.2020 06:00","2387","2322","Estimated","7","","Deficit","Final"
"08.08.2020 06:00 - 08.08.2020 07:00","-78","-1","Estimated","22","","Surplus","Final"
"08.08.2020 07:00 - 08.08.2020 08:00","-36","-1","Estimated","10","","Surplus","Final"
"08.08.2020 08:00 - 08.08.2020 09:00","2428","2350","Estimated","14","","Deficit","Final"
"08.08.2020 09:00 - 08.08.2020 10:00","-23","-1","Estimated","6","","Surplus","Final"
"08.08.2020 10:00 - 08.08.2020 11:00","-93","3","Estimated","26","","Surplus","Final"
"08.08.2020 11:00 - 08.08.2020 12:00","-3","-1","Estimated","1","","Surplus","Final"
"08.08.2020 12:00 - 08.08.2020 13:00","-66","5","Estimated","19","","Surplus","Final"
"08.08.2020 13:00 - 08.08.2020 14:00","2425","2350","Estimated","14","","Deficit","Final"
"08.08.2020 14:00 - 08.08.2020 15:00","-44","3","Estimated","12","","Surplus","Final"
"08.08.2020 15:00 - 08.08.2020 16:00","-93","-1","Estimated","26","","Surplus","Final"
"08.08.2020 16:00 - 08.08.2020 17:00","2589","2350","Estimated","43","","Deficit","Final"
"08.08.2020 17:00 - 08.08.2020 18:00","2553","2350","Estimated","37","","Deficit","Final"
"08.08.2020 18:00 - 08.08.2020 19:00","2433","2350","Estimated","15","","Deficit","Final"
"08.08.2020 19:00 - 08.08.2020 20:00","-37","-1","Estimated","10","","Surplus","Final"
"08.08.2020 20:00 - 08.08.2020 21:00","-190","-1","Estimated","54","","Surplus","Final"
"08.08.2020 21:00 - 08.08.2020 22:00","2571","2350","Estimated","40","","Deficit","Final"
"08.08.2020 22:00 - 08.08.2020 23:00","2526","2350","Estimated","32","","Deficit","Final"
"08.08.2020 23:00 - 09.08.2020 00:00","-214","-1","Estimated","61","","Surplus","Final"
"09.08.2020 00:00 - 09.08.2020 01:00","-188","-1","Estimated","53","","Surplus","Final"
"09.08.2020 01:00 - 09.08.2020 02:00","2429","2350","Estimated","14","","Deficit","Final"
"09.08.2020 02:00 - 09.08.2020 03:00","2411","2350","Estimated","11","","Deficit","Final"
"09.08.2020 03:00 - 09.08.2020 04:00","-43","-1","Estimated","12","","Surplus","Final"
"09.08.2020 04:00 - 09.08.2020 05:00","-156","-1","Estimated","44","","Surplus","Final"
"09.08.2020 05:00 - 09.08.2020 06:00","-128","-1","Estimated","36","","Surplus","Final"
"09.08.2020 06:00 - 09.08.2020 07:00","-41","6","Estimated","11","","Surplus","Final"
"09.08.2020 07:00 - 09.08.2020 08:00","2517","2350","Estimated","30","","Deficit","Final"
"09.08.2020 08:00 - 09.08.2020 09:00","2733","2350","Estimated","70","","Deficit","Final"
"09.08.2020 09:00 - 09.08.2020 10:00","-76","-1","Estimated","22","","Surplus","Final"
"09.08.2020 10:00 - 09.08.2020 11:00","-70","-1","Estimated","20","","Surplus","Final"
"09.08.2020 11:00 - 09.08.2020 12:00","-62","0","Estimated","17","","Surplus","Final"
"09.08.2020 12:00 - 09.08.2020 13:00","-102","-1","Estimated","29","","Surplus","Final"
"09.08.2020 13:00 - 09.08.2020 14:00","2386","2334","Estimated","7","","Deficit","Final"
"09.08.2020 14:00 - 09.08.2020 15:00","2453","2350","Estimated","19","","Deficit","Final"
"09.08.2020 15:00 - 09.08.2020 16:00","2528","2350","Estimated","32","","Deficit","Final"
"09.08.2020 16:00 - 09.08.2020 17:00","2414","2350","Estimated","12","","Deficit","Final"
"09.08.2020 17:00 - 09.08.2020 18:00","-39","-1","Estimated","11","","Surplus","Final"
"09.08.2020 18:00 - 09.08.2020 19:00","2350","2350","Estimated","0","","Balanced","Final"
"09.08.2020 19:00 - 09.08.2020 20:00","3268","2350","Estimated","167","","Deficit","Final"
"09.08.2020 20:00 - 09.08.2020 21:00","2534","2350","Estimated","33","","Deficit","Final"
"09.08.2020 21:00 - 09.08.2020 22:00","2642","2350","Estimated","53","","Deficit","Final"
"09.08.2020 22:00 - 09.08.2020 23:00","2383","2350","Estimated","6","","Deficit","Final"
"09.08.2020 23:00 - 10.08.2020 00:00","2428","2350","Estimated","14","","Deficit","Final"
"10.08.2020 00:00 - 10.08.2020 01:00","2590","2350","Estimated","44","","Deficit","Final"
"10.08.2020 01:00 - 10.08.2020 02:00","2454","2350","Estimated","19","","Deficit","Final"
"10.08.2020 02:00 - 10.08.2020 03:00","2522","2350","Estimated","31","","Deficit","Final"
"10.08.2020 03:00 - 10.08.2020 04:00","2564","2350","Estimated","39","","Deficit","Final"
"10.08.2020 04:00 - 10.08.2020 05:00","2781","2350","Estimated","78","","Deficit","Final"
"10.08.2020 05:00 - 10.08.2020 06:00","2755","2350","Estimated","74","","Deficit","Final"
"10.08.2020 06:00 - 10.08.2020 07:00","2704","2350","Estimated","64","","Deficit","Final"
"10.08.2020 07:00 - 10.08.2020 08:00","3081","2350","Estimated","133","","Deficit","Final"
"10.08.2020 08:00 - 10.08.2020 09:00","2763","2350","Estimated","75","","Deficit","Final"
"10.08.2020 09:00 - 10.08.2020 10:00","2672","2350","Estimated","59","","Deficit","Final"
"10.08.2020 10:00 - 10.08.2020 11:00","3168","2350","Estimated","149","","Deficit","Final"
"10.08.2020 11:00 - 10.08.2020 12:00","8610","3338","Estimated","221","","Deficit","Final"
"10.08.2020 12:00 - 10.08.2020 13:00","8610","2881","Estimated","89","","Deficit","Final"
"10.08.2020 13:00 - 10.08.2020 14:00","2564","2350","Estimated","39","","Deficit","Final"
"10.08.2020 14:00 - 10.08.2020 15:00","2670","2350","Estimated","58","","Deficit","Final"
"10.08.2020 15:00 - 10.08.2020 16:00","-41","-1","Estimated","11","","Surplus","Final"
"10.08.2020 16:00 - 10.08.2020 17:00","-313","-1","Estimated","89","","Surplus","Final"
"10.08.2020 17:00 - 10.08.2020 18:00","2630","2350","Estimated","51","","Deficit","Final"
"10.08.2020 18:00 - 10.08.2020 19:00","3236","2350","Estimated","161","","Deficit","Final"
"10.08.2020 19:00 - 10.08.2020 20:00","2849","2350","Estimated","91","","Deficit","Final"
"10.08.2020 20:00 - 10.08.2020 21:00","2384","2350","Estimated","6","","Deficit","Final"
"10.08.2020 21:00 - 10.08.2020 22:00","2478","2350","Estimated","23","","Deficit","Final"
"10.08.2020 22:00 - 10.08.2020 23:00","2555","2350","Estimated","37","","Deficit","Final"
"10.08.2020 23:00 - 11.08.2020 00:00","2605","2350","Estimated","46","","Deficit","Final"
"11.08.2020 00:00 - 11.08.2020 01:00","2549","2350","Estimated","36","","Deficit","Final"
"11.08.2020 01:00 - 11.08.2020 02:00","2534","2350","Estimated","33","","Deficit","Final"
"11.08.2020 02:00 - 11.08.2020 03:00","2701","2350","Estimated","64","","Deficit","Final"
"11.08.2020 03:00 - 11.08.2020 04:00","2695","2350","Estimated","63","","Deficit","Final"
"11.08.2020 04:00 - 11.08.2020 05:00","2656","2350","Estimated","56","","Deficit","Final"
"11.08.2020 05:00 - 11.08.2020 06:00","2797","2350","Estimated","81","","Deficit","Final"
"11.08.2020 06:00 - 11.08.2020 07:00","2931","2350","Estimated","106","","Deficit","Final"
"11.08.2020 07:00 - 11.08.2020 08:00","2363","2350","Estimated","2","","Deficit","Final"
"11.08.2020 08:00 - 11.08.2020 09:00","2370","2350","Estimated","4","","Deficit","Final"
"11.08.2020 09:00 - 11.08.2020 10:00","2522","2350","Estimated","31","","Deficit","Final"
"11.08.2020 10:00 - 11.08.2020 11:00","-26","-1","Estimated","7","","Surplus","Final"
"11.08.2020 11:00 - 11.08.2020 12:00","2363","2350","Estimated","2","","Deficit","Final"
"11.08.2020 12:00 - 11.08.2020 13:00","2462","2350","Estimated","20","","Deficit","Final"
"11.08.2020 13:00 - 11.08.2020 14:00","-208","-1","Estimated","59","","Surplus","Final"
"11.08.2020 14:00 - 11.08.2020 15:00","-128","-1","Estimated","36","","Surplus","Final"
"11.08.2020 15:00 - 11.08.2020 16:00","2775","2350","Estimated","77","","Deficit","Final"
"11.08.2020 16:00 - 11.08.2020 17:00","-4","-1","Estimated","1","","Surplus","Final"
"11.08.2020 17:00 - 11.08.2020 18:00","-33","-1","Estimated","9","","Surplus","Final"
"11.08.2020 18:00 - 11.08.2020 19:00","2656","2350","Estimated","56","","Deficit","Final"
"11.08.2020 19:00 - 11.08.2020 20:00","2394","2350","Estimated","8","","Deficit","Final"
"11.08.2020 20:00 - 11.08.2020 21:00","-164","-1","Estimated","47","","Surplus","Final"
"11.08.2020 21:00 - 11.08.2020 22:00","-95","-1","Estimated","27","","Surplus","Final"
"11.08.2020 22:00 - 11.08.2020 23:00","-140","-1","Estimated","40","","Surplus","Final"
"11.08.2020 23:00 - 12.08.2020 00:00","2350","2350","Estimated","0","","Balanced","Final"
"12.08.2020 00:00 - 12.08.2020 01:00","-5","-1","Estimated","1","","Surplus","Final"
"12.08.2020 01:00 - 12.08.2020 02:00","-222","-1","Estimated","63","","Surplus","Final"
"12.08.2020 02:00 - 12.08.2020 03:00","-168","-1","Estimated","48","","Surplus","Final"
"12.08.2020 03:00 - 12.08.2020 04:00","2369","2350","Estimated","3","","Deficit","Final"
"12.08.2020 04:00 - 12.08.2020 05:00","2800","2350","Estimated","82","","Deficit","Final"
"12.08.2020 05:00 - 12.08.2020 06:00","2842","2350","Estimated","89","","Deficit","Final"
"12.08.2020 06:00 - 12.08.2020 07:00","2487","2334","Estimated","25","","Deficit","Final"
"12.08.2020 07:00 - 12.08.2020 08:00","-143","-1","Estimated","40","","Surplus","Final"
"12.08.2020 08:00 - 12.08.2020 09:00","-5","-1","Estimated","1","","Surplus","Final"
"12.08.2020 09:00 - 12.08.2020 10:00","2741","2350","Estimated","71","","Deficit","Final"
"12.08.2020 10:00 - 12.08.2020 11:00","2383","2350","Estimated","6","","Deficit","Final"
"12.08.2020 11:00 - 12.08.2020 12:00","-193","-1","Estimated","55","","Surplus","Final"
"12.08.2020 12:00 - 12.08.2020 13:00","-95","-1","Estimated","27","","Surplus","Final"
"12.08.2020 13:00 - 12.08.2020 14:00","2568","2350","Estimated","40","","Deficit","Final"
"12.08.2020 14:00 - 12.08.2020 15:00","2599","2350","Estimated","45","","Deficit","Final"
"12.08.2020 15:00 - 12.08.2020 16:00","-136","-1","Estimated","39","","Surplus","Final"
"12.08.2020 16:00 - 12.08.2020 17:00","-61","-1","Estimated","17","","Surplus","Final"
"12.08.2020 17:00 - 12.08.2020 18:00","2483","2350","Estimated","24","","Deficit","Final"
"12.08.2020 18:00 - 12.08.2020 19:00","-172","-1","Estimated","49","","Surplus","Final"
"12.08.2020 19:00 - 12.08.2020 20:00","-211","-1","Estimated","60","","Surplus","Final"
"12.08.2020 20:00 - 12.08.2020 21:00","2454","2350","Estimated","19","","Deficit","Final"
"12.08.2020 21:00 - 12.08.2020 22:00","2429","2350","Estimated","14","","Deficit","Final"
